## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,Reliability,24.000000,24.000000,Results,0.994018,0.005946,2
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.005982,0.005982
Dist,1.000000,0.994018,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,Reliability,360.000000,360.000000,Results,0.913246,0.079228,2
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.086754,0.086754
Dist,1.000000,0.913246,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,Reliability,1080.000000,1080.000000,Results,0.725100,0.199330,2
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.274900,0.274900
Dist,1.000000,0.725100,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,Reliability,2520.000000,2520.000000,Results,0.320095,0.217634,2
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.679905,0.679905
Dist,1.000000,0.320095,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,Reliability,5400.000000,5400.000000,Results,0.036716,0.035368,2
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.963284,0.963284
Dist,1.000000,0.036716,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,Reliability,11160.000000,11160.000000,Results,0.000465,0.000465,2
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.999535,0.999535
Dist,1.000000,0.000465,1.000000

