## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,1,Availibility,-1.000000,1.000000,Results,0.981026,0.018614,2
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.018974,0.018974
Dist,1.000000,0.981026,1.000000

